x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,smiling
-1.861,1.35,-1.835,0.892,-1.756,0.458,-1.704,-0.0,-1.625,-0.458,-1.389,-0.847,-1.022,-1.144,-0.55,-1.373,0.0,-1.442,0.55,-1.396,1.049,-1.213,1.442,-0.938,1.73,-0.572,1.861,-0.137,1.94,0.32,2.018,0.778,2.071,1.236,-1.625,1.831,-1.363,2.014,-0.996,2.014,-0.655,1.922,-0.367,1.785,0.524,1.762,0.839,1.899,1.18,1.991,1.547,1.968,1.809,1.762,0.079,1.419,0.079,1.167,0.079,0.938,0.079,0.686,-0.288,0.366,-0.131,0.343,0.026,0.32,0.21,0.343,0.367,0.366,-1.206,1.373,-0.97,1.487,-0.682,1.464,-0.446,1.281,-0.708,1.236,-0.996,1.259,0.577,1.259,0.813,1.442,1.101,1.442,1.337,1.304,1.127,1.213,0.839,1.213,-0.629,-0.32,-0.446,-0.069,-0.183,0.046,0.0,-0.0,0.183,0.046,0.446,-0.092,0.629,-0.366,0.419,-0.549,0.183,-0.641,-0.026,-0.664,-0.236,-0.641,-0.472,-0.549,-0.524,-0.32,-0.183,-0.16,0.0,-0.16,0.183,-0.16,0.498,-0.343,0.183,-0.389,-0.026,-0.389,-0.21,-0.389,0
-1.92,1.523,-1.92,1.066,-1.833,0.571,-1.746,0.076,-1.571,-0.343,-1.309,-0.723,-0.96,-1.066,-0.524,-1.371,0.0,-1.447,0.567,-1.371,1.004,-1.104,1.353,-0.761,1.658,-0.343,1.833,0.114,1.92,0.609,2.008,1.104,2.008,1.561,-1.658,1.789,-1.44,1.98,-1.091,2.018,-0.742,1.98,-0.436,1.866,0.393,1.866,0.742,1.98,1.047,2.018,1.397,1.98,1.658,1.827,0.0,1.599,0.0,1.294,0.0,1.028,0.0,0.723,-0.48,0.495,-0.262,0.419,0.0,0.381,0.262,0.419,0.48,0.495,-1.222,1.523,-1.004,1.637,-0.742,1.637,-0.524,1.485,-0.742,1.447,-1.004,1.447,0.524,1.523,0.742,1.637,1.004,1.637,1.222,1.523,1.004,1.485,0.786,1.485,-0.829,-0.038,-0.524,0.038,-0.218,0.076,0.0,-0.0,0.218,0.076,0.524,0.038,0.829,-0.038,0.567,-0.305,0.262,-0.457,0.0,-0.495,-0.262,-0.457,-0.567,-0.305,-0.742,-0.076,-0.218,-0.076,0.0,-0.076,0.218,-0.076,0.742,-0.076,0.262,-0.267,0.0,-0.305,-0.262,-0.267,1
-1.247,1.177,-1.256,0.806,-1.183,0.403,-0.983,0.008,-0.746,-0.371,-0.501,-0.759,-0.264,-1.138,0.009,-1.47,0.446,-1.565,0.974,-1.446,1.475,-1.177,1.939,-0.822,2.321,-0.419,2.576,0.063,2.676,0.608,2.64,1.162,2.558,1.699,-1.384,1.644,-1.256,1.754,-1.047,1.762,-0.81,1.707,-0.601,1.628,-0.018,1.746,0.273,1.896,0.619,1.991,0.983,2.015,1.32,1.928,-0.319,1.375,-0.346,1.083,-0.391,0.79,-0.428,0.498,-0.592,0.316,-0.419,0.237,-0.191,0.205,0.082,0.316,0.337,0.442,-1.065,1.343,-0.91,1.462,-0.701,1.47,-0.492,1.335,-0.701,1.304,-0.901,1.296,0.391,1.43,0.519,1.596,0.756,1.62,1.02,1.557,0.792,1.478,0.583,1.438,-0.501,-0.182,-0.446,-0.047,-0.228,0.008,0.0,-0.0,0.264,0.079,0.792,0.103,1.329,0.047,0.983,-0.427,0.528,-0.703,0.209,-0.766,-0.064,-0.751,-0.319,-0.529,-0.419,-0.198,-0.2,-0.111,0.036,-0.111,0.31,-0.055,1.247,0.016,0.464,-0.506,0.173,-0.553,-0.082,-0.537,1
-1.66,1.812,-1.701,1.324,-1.66,0.801,-1.62,0.314,-1.498,-0.139,-1.296,-0.557,-1.012,-0.976,-0.648,-1.289,-0.162,-1.394,0.364,-1.324,0.85,-1.08,1.255,-0.767,1.579,-0.383,1.862,0.07,2.024,0.523,2.186,1.045,2.267,1.533,-1.377,2.021,-1.093,2.091,-0.81,2.056,-0.526,1.986,-0.243,1.882,0.607,1.882,0.931,1.916,1.296,1.916,1.62,1.882,1.862,1.742,0.162,1.568,0.121,1.22,0.04,0.906,0.0,0.557,-0.445,0.418,-0.243,0.348,0.0,0.279,0.243,0.314,0.445,0.383,-1.012,1.672,-0.769,1.742,-0.567,1.707,-0.364,1.603,-0.567,1.603,-0.81,1.638,0.769,1.498,0.972,1.603,1.215,1.568,1.458,1.463,1.215,1.463,0.972,1.463,-0.931,0.035,-0.567,0.035,-0.243,0.035,0.0,-0.0,0.283,0.035,0.607,-0.0,0.972,-0.0,0.648,-0.314,0.283,-0.453,-0.04,-0.488,-0.324,-0.453,-0.648,-0.279,-0.85,-0.0,-0.283,-0.07,0.0,-0.105,0.283,-0.07,0.891,-0.035,0.283,-0.279,0.0,-0.279,-0.283,-0.244,0
-1.776,1.551,-1.693,1.14,-1.549,0.729,-1.363,0.318,-1.115,-0.075,-0.805,-0.43,-0.475,-0.748,-0.083,-1.028,0.372,-1.103,0.888,-0.972,1.342,-0.654,1.714,-0.262,2.024,0.187,2.21,0.673,2.292,1.196,2.272,1.719,2.21,2.224,-1.755,2.037,-1.549,2.112,-1.28,2.075,-1.033,2.0,-0.805,1.906,0.041,2.018,0.33,2.168,0.661,2.299,1.012,2.355,1.384,2.318,-0.31,1.589,-0.289,1.252,-0.268,0.934,-0.248,0.598,-0.475,0.392,-0.31,0.318,-0.124,0.299,0.083,0.374,0.289,0.467,-1.363,1.57,-1.177,1.719,-0.888,1.719,-0.64,1.533,-0.888,1.458,-1.177,1.439,0.268,1.626,0.475,1.85,0.764,1.888,1.053,1.794,0.847,1.626,0.537,1.589,-0.558,-0.093,-0.372,-0.037,-0.165,0.019,0.0,-0.0,0.165,0.056,0.496,0.056,0.888,0.093,0.578,-0.206,0.289,-0.374,0.103,-0.411,-0.083,-0.411,-0.33,-0.299,-0.454,-0.112,-0.124,-0.131,0.041,-0.131,0.207,-0.093,0.764,0.056,0.227,-0.112,0.041,-0.15,-0.145,-0.131,0
-2.619,1.026,-2.483,0.545,-2.347,0.064,-2.143,-0.449,-1.871,-0.866,-1.463,-1.187,-0.952,-1.411,-0.408,-1.507,0.102,-1.507,0.544,-1.315,0.884,-0.994,1.122,-0.609,1.292,-0.192,1.326,0.257,1.36,0.706,1.292,1.122,1.224,1.539,-2.109,1.443,-1.871,1.7,-1.531,1.828,-1.156,1.828,-0.782,1.764,0.102,1.86,0.34,1.988,0.578,2.117,0.884,2.085,1.054,1.924,-0.204,1.443,-0.136,1.187,-0.034,0.93,0.068,0.641,-0.408,0.289,-0.204,0.257,0.034,0.257,0.204,0.321,0.34,0.417,-1.599,1.187,-1.36,1.379,-1.088,1.443,-0.85,1.283,-1.088,1.219,-1.326,1.155,0.17,1.411,0.374,1.604,0.612,1.668,0.85,1.507,0.68,1.411,0.408,1.379,-1.054,-0.224,-0.646,-0.096,-0.238,-0.0,0.0,-0.0,0.204,0.064,0.442,0.064,0.68,0.032,0.51,-0.321,0.306,-0.513,0.068,-0.609,-0.204,-0.609,-0.646,-0.513,-0.952,-0.224,-0.238,-0.16,0.0,-0.128,0.204,-0.096,0.578,-0.0,0.238,-0.289,0.034,-0.385,-0.204,-0.385,1
-1.69,1.463,-1.69,1.024,-1.667,0.585,-1.576,0.125,-1.393,-0.313,-1.119,-0.689,-0.799,-1.045,-0.411,-1.358,0.091,-1.483,0.617,-1.4,1.096,-1.149,1.485,-0.815,1.804,-0.439,2.01,-0.0,2.078,0.501,2.078,0.982,2.056,1.442,-1.622,1.943,-1.37,2.027,-1.074,2.006,-0.799,1.922,-0.525,1.818,0.48,1.839,0.754,1.922,1.051,1.964,1.325,1.964,1.599,1.86,-0.046,1.463,-0.046,1.149,-0.069,0.836,-0.069,0.522,-0.48,0.355,-0.297,0.272,-0.046,0.209,0.206,0.272,0.434,0.355,-1.211,1.442,-0.959,1.546,-0.685,1.546,-0.457,1.4,-0.708,1.358,-0.959,1.358,0.525,1.4,0.754,1.546,1.028,1.567,1.279,1.463,1.028,1.379,0.777,1.358,-0.891,0.021,-0.594,0.042,-0.251,0.042,0.0,-0.0,0.274,0.063,0.708,0.063,1.119,0.042,0.777,-0.418,0.365,-0.669,0.046,-0.71,-0.274,-0.669,-0.617,-0.418,-0.799,-0.021,-0.251,-0.104,0.023,-0.125,0.297,-0.084,1.028,-0.0,0.32,-0.418,0.023,-0.46,-0.251,-0.418,1
0.237,1.515,-0.068,1.267,-0.271,0.909,-0.338,0.523,-0.406,0.138,-0.542,-0.276,-0.677,-0.689,-0.846,-1.075,-0.677,-1.378,-0.237,-1.598,0.338,-1.653,0.914,-1.653,1.523,-1.57,2.132,-1.378,2.64,-1.047,3.046,-0.634,3.419,-0.193,0.542,2.066,0.677,2.094,0.812,2.011,0.982,1.874,1.083,1.736,1.523,1.405,1.862,1.295,2.2,1.157,2.505,0.909,2.708,0.634,1.015,1.212,0.745,1.019,0.474,0.854,0.203,0.661,-0.034,0.551,0.034,0.413,0.135,0.303,0.338,0.22,0.575,0.165,0.406,1.57,0.575,1.57,0.745,1.46,0.812,1.322,0.643,1.35,0.474,1.433,1.591,0.799,1.828,0.771,2.031,0.634,2.2,0.441,1.929,0.523,1.726,0.661,-0.305,-0.083,-0.237,0.11,-0.102,0.083,0.0,-0.0,0.169,-0.055,0.44,-0.358,0.643,-0.689,0.203,-0.882,-0.237,-0.882,-0.406,-0.771,-0.508,-0.634,-0.474,-0.358,-0.237,-0.11,-0.169,-0.028,-0.068,-0.11,0.102,-0.193,0.575,-0.661,-0.068,-0.661,-0.237,-0.551,-0.338,-0.441,0
-2.405,1.848,-2.405,1.299,-2.405,0.78,-2.315,0.231,-2.074,-0.26,-1.653,-0.664,-1.142,-0.953,-0.571,-1.155,-0.03,-1.213,0.481,-1.097,0.842,-0.809,1.172,-0.462,1.413,-0.058,1.503,0.375,1.563,0.809,1.563,1.242,1.593,1.646,-1.623,2.079,-1.293,2.223,-0.902,2.252,-0.541,2.137,-0.24,1.964,0.301,1.935,0.571,2.05,0.872,2.137,1.172,2.137,1.413,1.992,0.06,1.704,0.09,1.357,0.12,1.011,0.18,0.635,-0.451,0.549,-0.21,0.433,0.06,0.347,0.301,0.433,0.451,0.549,-1.293,1.704,-1.052,1.819,-0.812,1.819,-0.571,1.646,-0.812,1.588,-1.082,1.588,0.421,1.646,0.631,1.819,0.872,1.819,1.082,1.675,0.872,1.588,0.631,1.588,-0.902,0.029,-0.511,0.029,-0.18,0.029,0.0,-0.0,0.18,0.029,0.391,0.029,0.661,0.058,0.421,-0.116,0.18,-0.202,-0.03,-0.231,-0.21,-0.231,-0.541,-0.144,-0.782,-0.0,-0.21,-0.058,0.0,-0.087,0.18,-0.058,0.571,0.029,0.18,-0.058,0.0,-0.087,-0.21,-0.058,1
-2.008,1.898,-1.971,1.432,-1.858,0.965,-1.708,0.515,-1.502,0.08,-1.201,-0.29,-0.845,-0.643,-0.45,-0.933,0.038,-1.013,0.526,-0.933,0.957,-0.643,1.351,-0.29,1.652,0.113,1.839,0.579,1.933,1.062,2.008,1.544,2.027,2.027,-1.727,2.059,-1.408,2.172,-1.051,2.139,-0.694,2.043,-0.338,1.93,0.244,1.995,0.601,2.139,0.938,2.252,1.314,2.333,1.633,2.236,-0.019,1.625,0.0,1.239,0.019,0.869,0.038,0.483,-0.375,0.402,-0.188,0.322,0.038,0.257,0.244,0.322,0.413,0.418,-1.408,1.657,-1.145,1.769,-0.826,1.753,-0.582,1.593,-0.863,1.512,-1.164,1.512,0.488,1.641,0.732,1.834,1.051,1.882,1.314,1.786,1.089,1.641,0.788,1.593,-0.77,-0.08,-0.507,0.016,-0.225,0.048,0.0,-0.0,0.225,0.064,0.507,0.048,0.751,-0.048,0.544,-0.29,0.263,-0.418,0.019,-0.45,-0.244,-0.434,-0.507,-0.322,-0.638,-0.097,-0.225,-0.113,0.0,-0.145,0.244,-0.113,0.638,-0.064,0.244,-0.129,0.0,-0.161,-0.244,-0.145,0
