revision_time,exam_score
2.723,27.682
2.844,22.998
3.303,19.765
3.588,24.481
4.05,22.974
4.08,27.086
5.674,26.136
6.06,27.038
6.347,31.283
6.819,14.731
7.098,28.946
7.515,26.901
8.356,35.299
9.214,24.228
10.364,34.651
10.51,34.667
12.102,34.848
13.187,37.266
16.692,43.491
16.977,45.201
18.33,40.924
19.599,48.321
20.321,49.574
21.28,47.239
21.578,45.582
21.798,53.182
22.048,39.956
24.949,52.697
25.147,54.9
26.495,66.065
26.535,60.068
28.687,65.432
29.055,47.34
31.043,66.051
32.176,62.916
32.203,62.892
32.226,52.066
32.268,75.787
32.711,71.807
32.886,63.339
34.489,59.794
34.889,63.983
37.299,68.714
40.875,70.767
41.249,88.973
45.213,76.957
45.397,78.698
46.923,90.384
47.818,94.945
48.011,86.968
